id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
2,247.60811162347372,32.153946701288646,0.5789529034220215,-0.15304264426231384,-0.1593891721587108,25,0.0,236.6683807373047,1.2662955522537231,-0.2563377036436435
3,710.076951689133,105.65753722714852,0.5820481791238504,-0.1993725597858429,-0.5490758090708767,25,0.0,231.376953125,1.3877729177474976,-0.3557960200567512
4,451.0738793547682,146.14502101007938,0.6046824940933988,-0.9318793416023254,-0.5246998266621384,25,0.0,219.4800262451172,1.26218581199646,-0.25280823510022316
6,881.6932116297289,183.736598405515,0.5148447166793645,0.34460994601249695,0.22936133891365115,25,0.0,272.4402160644531,1.3991085290908813,-0.364628510241664
8,91.81637297232166,312.6110558215044,0.2892698491549136,0.04992271214723587,-0.833022717437736,25,0.0,326.4258117675781,2.1229331493377686,-0.8173407963772755
11,39.83162986229225,357.96288204483415,0.3772209128621781,0.06652727723121643,-0.6871452534805425,25,0.0,279.789306640625,1.3708170652389526,-0.3424487557590641
12,42.359364530651746,357.68262236392536,0.3984559877559144,-0.10109562426805496,-0.8981351489994079,25,0.0,299.7351379394531,1.1891236305236816,-0.18806752397946996
17,118.92852576679724,555.4453838768286,0.31067407561417426,-0.35958951711654663,-0.6817808673197424,25,0.0,261.7958068847656,1.7446050643920898,-0.6042428221240672
18,119.26629126458127,556.8423257783543,0.3492094050386835,0.2885577380657196,0.010423763024606148,25,0.0,237.05184936523438,1.1835606098175049,-0.18297625734271958
19,201.74674416503072,605.4526704752577,0.719507026707183,0.5584620833396912,-0.4044140546587916,25,0.0,218.40756225585938,1.083413004875183,-0.08698511096816613
21,914.0884914774359,735.4214404891061,0.3253875501205381,-0.31884676218032837,-0.4280886743813291,25,0.0,335.1142578125,1.9255433082580566,-0.711383227451377
26,642.1732548490403,869.9956932455173,0.3581705417637826,-0.16902093589305878,-0.8911304004967517,25,0.0,307.89642333984375,1.4115070104599,-0.3742075986913861
27,544.007286012989,904.7194667786126,0.3655447412007105,-0.5096637606620789,-0.7988766158712921,25,0.0,278.099853515625,1.273419976234436,-0.2624291459782218
